X33706	X31968	X30209	X33558	X31687	X28531	X16817	X31787	X17154	X19241	X17241	X26586	X29650	X26146	X31242	X22086	X31453	X32904	X34574	X30258	X25054	X31471
X2	0.0336	-0.46	-0.622	0.349	0.159	0.0643	-0.346	0.151	0.98	-0.152	0.392	0.296	0.29	-0.142	-0.195	0.0171	-0.005	-0.0389	0.319	-0.253	-0.53	-0.695
X4	-0.0698	-0.851	-0.625	-0.719	-0.123	0.845	-0.0722	-0.123	0.399	1.15	0.231	-0.16	1.02	-0.245	-0.542	-0.176	-0.326	-0.233	0.458	-0.697	-0.127	-1.3
X6	0.384	-0.172	-0.0341	-0.592	-0.00395	0.346	-0.0464	-0.743	-0.0814	0.171	0.858	-0.203	-0.225	-0.281	-0.342	-0.604	-0.433	-0.365	-1.36	0.639	-0.31	0.321
X7	-0.605	0.246	0.338	-0.486	0.335	0.624	0.269	-0.174	0.454	1.56	0.562	-0.0601	0.541	-0.399	0.0727	-0.332	-0.246	0.0672	0.378	-0.1	-0.951	-0.204
X8	-0.43	0.367	0.099	-0.494	0.841	-1.89	0.681	-1.72	-0.507	0.494	-2.43	-0.267	-0.153	0.0156	0.422	0.638	0.0294	1.75	-0.755	0.504	-0.561	0.867
X11	-0.267	-0.208	0.0253	0.332	-0.354	-3.24	-0.105	-1.54	0.176	0.153	-2.42	-0.004	-1.97	0.868	-0.443	-0.104	0.196	-0.0688	0.115	-0.196	0.362	-0.316
X12	-1.12	0.212	1.08	-0.0802	-0.213	-2.75	0.393	-2.57	-0.585	0.0476	-2.49	0.802	-1.24	0.992	0.659	0.198	0.168	0.0756	0.117	1.39	0.233	1.17
X15	0.562	0.728	0.554	-0.149	0.0127	-1.18	-0.0641	-1.87	0.646	0.586	-1.36	0.874	-0.434	0.762	0.809	-0.781	0.54	0.254	-0.0153	0.854	-0.66	0.988
X18	0.788	-0.0486	0.214	0.156	-0.0125	0.503	-0.223	0.234	-0.0859	1.4	0.651	0.167	-1.05	-0.217	0.244	-0.155	0.147	0.229	-0.186	0.283	0.597	0.105
X22	-0.558	-0.148	-0.299	-0.0843	-0.373	-0.273	-0.33	-1.36	-0.284	-0.255	0.226	0.177	0.543	-0.0015	-0.553	-0.409	0.0687	-0.118	0.575	0.424	-0.609	-1.05
