X16988	X19241	X33706	X27415	X32904	X28531	X31687	X34015	X29224
X41	-1.18	0.204	-0.702	-1.11	0.134	-0.939	0.669	0.578	0.329
X122	-2.79	1.05	0.284	-2.3	0.0615	-1.33	-0.488	0.186	0.0785
X123	0.457	0.824	-0.335	0.927	-0.7	0.461	0.504	0.0959	0.526
X2	0.429	-0.152	0.0336	0.787	-0.0389	0.0643	0.159	-0.0967	-0.473
X22	0.0821	-0.255	-0.558	-0.0033	-0.118	-0.273	-0.373	-0.169	-0.869
X91	0.152	-1.09	0.43	-0.291	0.859	-0.655	0.0129	0.359	0.54
X108	0.872	0.379	-0.325	0.968	-0.109	0.543	-0.365	-0.0492	0.34
X119	-2.09	2.34	0.813	-1.8	0.0296	-1.35	0.415	0.105	-0.0612
X116	0.799	0.122	-0.427	0.884	0.551	1.1	0.202	0.0772	-0.1
X118	0.428	0.763	-0.381	0.796	-0.0463	0.748	0.475	0.0409	-0.532
X151	0.488	-0.403	-0.0983	0.6	0.058	0.759	-0.0154	0.0522	0.346
X100	-0.281	-0.302	-0.245	-0.124	-0.3	-0.0931	-0.141	-0.641	-0.972
X109	0.464	-1.1	-0.643	0.859	-0.776	0.328	0.766	-0.896	0.197
X76	0.109	0.306	-0.557	0.377	0.141	0.668	0.193	-0.719	-0.664
X152	-2.46	-0.704	0.0394	-2.22	0.526	-1.68	-0.156	-0.0498	-0.108
X11	-2.51	0.153	-0.267	-2.64	-0.0688	-3.24	-0.354	-0.101	-0.467
X7	0.72	1.56	-0.605	0.939	0.0672	0.624	0.335	0.223	-0.377
X61	-0.241	-0.247	1.3	-0.399	1.11	-1.11	-0.675	0.0228	0.225
X59	0.443	0.433	0.672	0.49	-0.0115	0.274	0.0305	-0.277	0.342
X68	0.192	0.217	-0.159	0.959	-0.144	-0.21	0.309	-0.321	0.148
X8	-2.62	0.494	-0.43	-2.25	1.75	-1.89	0.841	-0.0251	-0.308
X69	-0.265	0.335	-0.736	-0.308	0.244	-3.85e-08	0.418	-0.649	-0.263
X44	-0.633	-1.7	0.279	-0.208	0.224	-0.632	0.52	0.342	0.0056
X34	-0.542	0.992	0.0884	-0.395	0.0712	-0.436	0.335	0.0184	-0.245
X74	-0.682	1.25	-0.139	-0.481	-0.201	-0.327	0.441	-1.14	-0.358
X62	8e-04	-0.999	-0.0296	-0.135	1.19	0.414	-0.0619	-0.0023	0.0205
X98	-0.428	0.86	-0.0061	-0.37	-0.0473	-0.241	-0.05	-0.57	-0.0017
X65	-2.16	2.28	0.0304	-2.43	-0.133	-0.776	0.407	-0.464	-0.0521
X144	-0.592	-2.02	0.35	-0.488	-0.282	-0.0772	-0.0352	-0.064	0.115
X81	1.01	1.62	-0.232	1.47	0.0798	1.7	0.091	0.0221	-0.248
X6	0.289	0.171	0.384	0.685	-0.365	0.346	-0.00395	-0.254	-1.22
X12	-2.48	0.0476	-1.12	-2.15	0.0756	-2.75	-0.213	0.449	0.296
X101	-2.93	-1.24	0.944	-3.27	0.105	-3.11	-0.368	0.196	-0.039
X99	-0.893	0.458	0.0345	-0.94	-0.0798	-0.818	-0.168	-0.0632	0.0017
X66	-0.319	0.912	-0.131	-0.25	-0.115	0.342	0.0661	0.0693	-0.436
X125	0.0732	0.0525	-0.276	0.337	0.102	-0.208	0.0462	0.289	0.0566
X104	0.099	-0.186	0.249	0.0574	0.167	0.0652	0.34	0.163	0.189
X72	-0.202	1.27	0.18	-0.0669	0.122	-0.264	0.27	0.0445	-0.0535
X120	1.93	-0.0431	0.0526	2.33	0.2	1.07	-0.413	0.265	-0.252
X93	-0.605	-0.627	-0.111	-0.418	-0.296	-0.337	-0.142	0.187	0.214
X48	-0.835	-0.76	0.284	-0.894	0.0307	-1.03	-1.42	0.391	0.609
X15	-1.76	0.586	0.562	-1.81	0.254	-1.18	0.0127	0.515	0.401
X115	1.3	-0.307	0.028	1.59	0.145	0.834	0.398	-0.394	-0.567
X136	0.62	0.503	-1.21	1.12	-0.525	0.511	-0.191	0.421	0.584
X110	1.32	-0.6	-0.137	1.6	-0.12	0.708	0.712	-0.141	-0.207
X130	-0.333	1.23	-0.3	0.465	-0.44	0.126	0.0859	-7e-04	-0.338
X27	0.931	0.946	-0.298	1.02	-0.458	0.665	0.172	0.11	-0.481
X147	-0.65	1.38	0.163	0.135	0.483	-0.148	0.228	0.201	0.101
X51	0.8	0.126	-1.03	0.908	-0.281	0.391	0.0996	-0.4	-0.54
X45	0.131	0.124	0.0907	-0.124	-0.00382	-0.0872	-0.115	-0.0129	-0.572
X134	-0.877	-1.05	1.35	-1.25	0.0163	-0.417	-0.751	0.156	0.623
X117	0.418	-1.37	0.148	0.0635	0.706	0.0247	-0.776	0.721	0.838
X18	-1.14e-09	1.4	0.788	0.277	0.229	0.503	-0.0125	0.196	0.212
X124	-0.617	-0.538	0.00681	-0.235	-0.364	0.348	-0.0744	0.204	-0.415
X129	0.0293	0.493	0.377	0.258	-0.101	-0.418	-0.0296	-0.262	-0.422
X121	0.34	0.443	1.43	0.314	-0.289	-0.0296	-0.307	-0.391	-0.353
X24	-0.838	-0.781	-0.351	-0.487	-0.336	-0.647	0.155	-0.434	-1.09
X25	1.08	0.625	0.137	1.02	0.036	0.771	-0.239	0.0649	-0.21
