X33310	X28197	X19373	X27415	X28531	X27585	X26940
X2	-0.21	0.0149	1.03	0.787	0.0643	1.16	0.608
X4	-0.421	0.289	0.736	1.48	0.845	0.746	0.342
X6	-0.421	0.262	0.138	0.685	0.346	0.125	0.67
X7	-0.384	1.49	0.812	0.939	0.624	0.969	0.554
X8	0.468	-2.7	-2.49	-2.25	-1.89	-2.3	-2.93
X11	-0.0129	-2.48	-2.52	-2.64	-3.24	-2.19	-2.18
X12	0.54	-2.41	-2.68	-2.15	-2.75	-2.85	-2.42
X15	-0.0776	-0.929	-1.68	-1.81	-1.18	-0.885	-1.79
X18	0.0698	0.643	-0.202	0.277	0.503	-0.155	0.617
X22	-0.214	-0.375	0.338	-0.0033	-0.273	0.556	0.0424
X24	-0.436	-0.697	-0.612	-0.487	-0.647	-0.708	-0.668
X25	0.067	0.845	1.22	1.02	0.771	1.54	0.687
X26	-0.485	0.399	0.177	-0.154	-0.286	0.0286	0.0731
X27	0.0068	0.286	0.873	1.02	0.665	0.958	0.502
X30	0.548	-1.22	-1.19	-1.08	-0.65	-0.97	-0.904
X34	-0.235	-0.503	-0.12	-0.395	-0.436	-0.409	-0.271
X41	0.362	-1.13	-1.16	-1.11	-0.939	-1.18	-1.93
X44	0.144	-0.598	-0.954	-0.208	-0.632	-1.17	-0.237
X45	-0.128	-0.0307	0.113	-0.124	-0.0872	0.137	-0.301
X48	0.991	-0.53	-1.97	-0.894	-1.03	-1.92	-1.37
X50	-0.14	1	1.1	0.931	0.671	1.18	0.783
X51	-0.328	0.867	0.925	0.908	0.391	0.715	0.571
X59	0.305	-0.15	0.239	0.49	0.274	0.0426	-0.0521
X61	1.24	-0.505	0.103	-0.399	-1.11	0.489	-0.497
X62	-0.227	0.135	-0.305	-0.135	0.414	0.185	-0.356
X65	0.0363	-1.08	-1.84	-2.43	-0.776	-1.85	-1.61
X66	0.111	-0.296	-0.163	-0.25	0.342	-0.213	-1.03
X68	-0.0255	0.223	0.452	0.959	-0.21	0.465	0.149
X69	0.0617	0.362	0.0398	-0.308	-3.85e-08	1.07	0.261
X72	-0.485	0.0828	-0.651	-0.0669	-0.264	-0.587	-0.0365
X74	0.0175	-0.501	-0.738	-0.481	-0.327	-1.23	0.0556
X76	0.0231	1.14	1.06	0.377	0.668	0.691	0.693
X81	-0.0691	1.41	1.67	1.47	1.7	0.397	2.04
X83	0.389	-0.392	0.205	-0.0143	0.22	0.655	-0.0285
X91	0.0908	0.585	-0.355	-0.291	-0.655	-0.0562	-0.143
X92	-0.195	-0.909	-0.554	-1.24	-0.331	-0.59	-0.718
X93	0.296	-0.0224	-0.345	-0.418	-0.337	-1.12	-0.698
X98	-0.13	-0.0923	0.0779	-0.37	-0.241	0.286	-0.21
X99	0.0379	-0.297	-0.891	-0.94	-0.818	-0.386	-1.01
X100	-0.22	-0.42	0.282	-0.124	-0.0931	0.555	0.431
X101	0.165	-3.01	-3.55	-3.27	-3.11	-3.52	-2.77
X104	0.165	-0.852	0.405	0.0574	0.0652	0.464	-0.0995
X108	-0.253	0.759	0.64	0.968	0.543	1.07	0.939
X109	-0.39	0.935	0.886	0.859	0.328	0.625	0.725
X110	-0.208	0.759	0.828	1.6	0.708	0.568	0.992
X115	-0.144	0.634	1.5	1.59	0.834	1.01	0.684
X116	0.0353	0.0055	0.992	0.884	1.1	1.2	0.957
X117	0.583	-0.137	-0.198	0.0635	0.0247	-0.129	0.157
X118	-0.281	0.545	0.409	0.796	0.748	-0.289	0.368
X119	0.0395	-1.18	-2.17	-1.8	-1.35	-1.87	-1.72
X120	-0.477	0.765	1.62	2.33	1.07	1.61	1.94
X121	-0.595	0.0747	0.485	0.314	-0.0296	0.818	0.155
X122	-0.109	-2.23	-2.38	-2.3	-1.33	-2.68	-2.5
X123	-0.333	0.849	1.65	0.927	0.461	1.56	0.957
X124	-0.0852	0.588	0.0409	-0.235	0.348	0.183	-0.653
X125	-0.0841	0.711	0.569	0.337	-0.208	-0.278	0.667
X129	-0.508	-0.0054	0.389	0.258	-0.418	0.717	-0.182
X130	-0.286	0.363	0.053	0.465	0.126	-0.676	0.136
X132	-0.0898	-1.51	-1.22	-1.75	-1.73	-1.29	-1.27
X134	0.539	-1.42	-2.6	-1.25	-0.417	-1.94	-2.07
X136	-0.318	0.577	0.898	1.12	0.511	0.445	0.799
X144	-0.141	0.0516	-0.214	-0.488	-0.0772	-0.0986	-0.0574
X147	0.181	0.129	-0.331	0.135	-0.148	-1.06	-0.335
X151	-0.0839	0.0359	0.871	0.6	0.759	1.36	0.594
X152	0.446	-1.82	-2.74	-2.22	-1.68	-2.95	-2.21
