V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25
1	0	-0.577069252183545	0	0	0	1.00099459164633	0	1.20754833830121	0	0	-0.756323490625798	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	-0.519893053555481	0	0	0	0	-0.792878840628279	0	0	0	0	0	0	0	0	0	-1.52568050593924	0	0	0	0	0	0	0	0
3	0	-0.519621849799042	0	0	0	0	0	0	0	0	-0.868233711860696	0	0	0	0	0	-1.7454298712095	0	0	0	0	0	0	0	0
4	0	-0.510912576016208	0	0	0	0.59550610490854	0	0	0	0	-0.905811022075662	0	0	0	0	0	-1.44201355554368	0	0	0	0	0	0	0	0
5	1.9390110938891	-0.564340620153775	0	0	0	0	-2.7073299713108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	-0.503820827676002	0	0	0	0.865444648260644	0	0	0	0	-0.802747726682787	0	0	0	0	0	0	1.25709564383679	0	0	0	0	0	0	0
7	0	-0.587654298350358	0	0	0	0.719756797109174	-0.769235625650129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	-0.563625835400561	0	0	0	0	-0.816261173676596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.898683592628091	0
9	0	-0.554004827679196	0	0	0	0.925693268463936	0	0	0	0	-0.906882195011239	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	-0.608241776870731	0	0	0	0	-0.855515166283228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
