sorted numbers	original index
X33310	-98.8944497747316	1
X28197	-101.542966160763	2
X19373	-101.921304585783	3
X26586	-102.034341179982	13
X16527	-102.226666455602	4
X24298	-102.716124478801	17
X27415	-102.722240961136	5
X24394	-102.883708736327	6
X32054	-102.896106251681	19
X27585	-102.949213439305	8
X28531	-102.97126452602	7
X27766	-103.099733753439	9
X26940	-103.20994267376	10
X27731	-103.350518717269	11
X16164	-103.555791407888	21
X17241	-103.584032787429	12
X31687	-103.734012397798	70
X27587	-103.795816553483	14
X33585	-103.806729094372	18
X27573	-103.974547460249	16
X24396	-104.092221352922	15
X31806	-104.546580245493	22
X33840	-104.583504968081	39
X19327	-104.614056045864	20
X25054	-104.671332982216	23
X28792	-104.690223184684	35
X32904	-104.766705166039	33
X33924	-104.792596162072	38
X33850	-104.885409265468	55
X34500	-104.975173120684	28
X33014	-105.009892886912	24
X26423	-105.012177806416	30
X24816	-105.027190070409	37
X34680	-105.051269577216	47
X26922	-105.056697885304	42
X34728	-105.25604326984	43
X19386	-105.299276545777	26
X24489	-105.325414895298	25
X24657	-105.393021106481	31
X33166	-105.404387279529	27
X28178	-105.472248548066	49
X34729	-105.545033504407	51
X27884	-105.559095376033	60
X17280	-105.599491008705	29
X17804	-105.648434653223	34
X31453	-105.694870348195	73
X16988	-105.759061936677	32
X33554	-105.904987124903	48
X27936	-105.91626479815	54
X34574	-105.916821573774	57
X24631	-105.924895581658	50
X28040	-105.969122054869	59
X27922	-105.990804141445	62
X31787	-106.013223127944	63
X22086	-106.049760313889	66
X28454	-106.071592001669	72
X17902	-106.10412793102	53
X22102	-106.117662089302	64
X17711	-106.161525975931	46
X22094	-106.201122011318	82
X32338	-106.218566860778	86
X27718	-106.223393541649	44
X32042	-106.239214986532	78
X27853	-106.299335718476	40
X27872	-106.30664879507	58
X27774	-106.364071064293	88
X17273	-106.375858831987	36
X31968	-106.384450558012	69
X29258	-106.395875217795	52
X33013	-106.450025877847	96
X27764	-106.463021805842	45
X26627	-106.471119716312	56
X34015	-106.55448268593	67
X16948	-106.585895989822	98
X33791	-106.592967848906	94
X32212	-106.642476436433	85
X28325	-106.654545905776	41
X28718	-106.692197466353	75
X31242	-106.736825006279	92
X19356	-106.737037659335	80
X26146	-106.816815546997	84
X31981	-106.826024587117	71
X27841	-106.834696963863	61
X28003	-106.84337600177	83
X16817	-106.88556488172	89
X17154	-106.911406236563	99
X27730	-106.929736085832	65
X26512	-106.990878223301	90
X30258	-106.995227050187	79
X29911	-107.005096098239	95
X33706	-107.020191159244	68
X30209	-107.046058252015	97
X29650	-107.094209616726	91
X27842	-107.228561579758	76
X29224	-107.303564117152	77
X34488	-107.354200588851	81
X19241	-107.414571438646	74
X31471	-107.60843646187	93
X33558	-107.68753529545	87
X27332	-107.772142295909	100
