X33310	X28197	X19373	X16527	X27415	X24394	X28531	X27585	X27766	X26940
X2	-0.21	0.0149	1.03	0.164	0.787	0.433	0.0643	1.16	1.17	0.608
X4	-0.421	0.289	0.736	0.133	1.48	0.302	0.845	0.746	0.974	0.342
X6	-0.421	0.262	0.138	0.173	0.685	0.502	0.346	0.125	0.506	0.67
X7	-0.384	1.49	0.812	1.37	0.939	0.782	0.624	0.969	1.31	0.554
X8	0.468	-2.7	-2.49	-2.33	-2.25	-2.86	-1.89	-2.3	-2.39	-2.93
X11	-0.0129	-2.48	-2.52	-2.3	-2.64	-2.22	-3.24	-2.19	-2.32	-2.18
X12	0.54	-2.41	-2.68	-2.52	-2.15	-2.34	-2.75	-2.85	-2.66	-2.42
X15	-0.0776	-0.929	-1.68	-0.997	-1.81	-2.02	-1.18	-0.885	-1.63	-1.79
X18	0.0698	0.643	-0.202	0.556	0.277	0.56	0.503	-0.155	-0.15	0.617
X22	-0.214	-0.375	0.338	-0.233	-0.0033	0.242	-0.273	0.556	0.528	0.0424
X24	-0.436	-0.697	-0.612	-0.491	-0.487	-0.468	-0.647	-0.708	-0.485	-0.668
X25	0.067	0.845	1.22	0.789	1.02	0.662	0.771	1.54	1.48	0.687
X26	-0.485	0.399	0.177	0.477	-0.154	0.246	-0.286	0.0286	-0.0366	0.0731
X27	0.0068	0.286	0.873	0.44	1.02	0.378	0.665	0.958	1.06	0.502
X30	0.548	-1.22	-1.19	-1.16	-1.08	-1.17	-0.65	-0.97	-1	-0.904
X34	-0.235	-0.503	-0.12	-0.634	-0.395	-0.376	-0.436	-0.409	-0.309	-0.271
X41	0.362	-1.13	-1.16	-1.38	-1.11	-2.46	-0.939	-1.18	-1.34	-1.93
X44	0.144	-0.598	-0.954	-0.775	-0.208	-0.232	-0.632	-1.17	-1.25	-0.237
X45	-0.128	-0.0307	0.113	-0.121	-0.124	-0.653	-0.0872	0.137	0.111	-0.301
X48	0.991	-0.53	-1.97	-0.81	-0.894	-1.59	-1.03	-1.92	-1.92	-1.37
X50	-0.14	1	1.1	0.987	0.931	0.707	0.671	1.18	1.01	0.783
X51	-0.328	0.867	0.925	0.635	0.908	0.814	0.391	0.715	0.683	0.571
X59	0.305	-0.15	0.239	0.00145	0.49	-0.0645	0.274	0.0426	0.188	-0.0521
X61	1.24	-0.505	0.103	-0.297	-0.399	-0.593	-1.11	0.489	0.0991	-0.497
X62	-0.227	0.135	-0.305	0.182	-0.135	-0.595	0.414	0.185	0.0252	-0.356
